epoch,step,train_acc_epoch,train_acc_step,train_loss,val_acc,val_loss
0,9,,0.5625,0.18310868740081787,,
0,19,,0.59375,0.17856687307357788,,
0,29,,0.46875,0.19911707937717438,,
0,39,,0.4375,0.1830926239490509,,
0,49,,0.5,0.17053158581256866,,
0,59,,0.5,0.18037985265254974,,
0,69,,0.5625,0.18388168513774872,,
0,79,,0.375,0.18264995515346527,,
0,89,,0.5,0.1734721064567566,,
0,89,,,,0.545549750328064,0.17269805073738098
0,89,0.482879102230072,,,,
1,99,,0.5625,0.16807927191257477,,
1,109,,0.5625,0.17063717544078827,,
1,119,,0.4375,0.1841166615486145,,
1,129,,0.5,0.173772394657135,,
1,139,,0.34375,0.18997067213058472,,
1,149,,0.53125,0.16908946633338928,,
1,159,,0.4375,0.18171241879463196,,
1,169,,0.5625,0.1816290318965912,,
1,179,,0.3571428656578064,0.196938619017601,,
1,179,,,,0.564397931098938,0.1720387190580368
1,179,0.4954577088356018,,,,
2,189,,0.5,0.16921259462833405,,
2,199,,0.375,0.18839624524116516,,
2,209,,0.5625,0.1739262342453003,,
2,219,,0.5,0.17464005947113037,,
2,229,,0.5,0.17271724343299866,,
2,239,,0.46875,0.18273884057998657,,
2,249,,0.46875,0.17156650125980377,,
2,259,,0.4375,0.18365362286567688,,
2,269,,0.5,0.16508321464061737,,
2,269,,,,0.5979057550430298,0.17119699716567993
2,269,0.5209643840789795,,,,
3,279,,0.53125,0.17131969332695007,,
3,289,,0.375,0.18355557322502136,,
3,299,,0.625,0.164600670337677,,
3,309,,0.6875,0.16023021936416626,,
3,319,,0.46875,0.17664283514022827,,
3,329,,0.53125,0.1674264520406723,,
3,339,,0.5625,0.17276103794574738,,
3,349,,0.65625,0.16204023361206055,,
3,359,,0.6428571343421936,0.15875011682510376,,
3,359,,,,0.6020942330360413,0.16866499185562134
3,359,0.5607966184616089,,,,
4,369,,0.53125,0.16730687022209167,,
4,379,,0.65625,0.1716417670249939,,
4,389,,0.625,0.15847742557525635,,
4,399,,0.46875,0.16699084639549255,,
4,409,,0.5,0.17430543899536133,,
4,419,,0.5625,0.18372677266597748,,
4,429,,0.625,0.16494643688201904,,
4,439,,0.71875,0.1519022434949875,,
4,449,,0.7857142686843872,0.15565750002861023,,
4,449,,,,0.6073298454284668,0.165199875831604
4,449,0.6114605069160461,,,,
5,459,,0.6875,0.14788863062858582,,
5,469,,0.65625,0.15783697366714478,,
5,479,,0.65625,0.15721949934959412,,
5,489,,0.625,0.17263704538345337,,
5,499,,0.71875,0.14935201406478882,,
5,509,,0.65625,0.15399783849716187,,
5,519,,0.8125,0.1398894488811493,,
5,529,,0.5625,0.17041116952896118,,
5,539,,0.7142857313156128,0.14122621715068817,,
5,539,,,,0.6513088941574097,0.15663982927799225
5,539,0.6495457887649536,,,,
6,549,,0.6875,0.146570086479187,,
6,559,,0.8125,0.12884736061096191,,
6,569,,0.8125,0.12770947813987732,,
6,579,,0.6875,0.14048060774803162,,
6,589,,0.5625,0.2030976116657257,,
6,599,,0.78125,0.13739027082920074,,
6,609,,0.59375,0.16277483105659485,,
6,619,,0.78125,0.12951453030109406,,
6,629,,0.7142857313156128,0.17234371602535248,,
6,629,,,,0.6544502377510071,0.15383638441562653
6,629,0.7243186831474304,,,,
7,639,,0.71875,0.14733310043811798,,
7,649,,0.78125,0.11678564548492432,,
7,659,,0.96875,0.09725555032491684,,
7,669,,0.8125,0.12159745395183563,,
7,679,,0.625,0.15082594752311707,,
7,689,,0.90625,0.10423625260591507,,
7,699,,0.6875,0.14515788853168488,,
7,709,,0.90625,0.09827607870101929,,
7,719,,0.7142857313156128,0.1480097621679306,,
7,719,,,,0.672251284122467,0.15679514408111572
7,719,0.7889587879180908,,,,
8,729,,0.84375,0.12378711998462677,,
8,739,,0.90625,0.08288341760635376,,
8,749,,0.78125,0.11133988201618195,,
8,759,,0.875,0.0936126708984375,,
8,769,,0.9375,0.07997274398803711,,
8,779,,0.78125,0.10882565379142761,,
8,789,,0.875,0.10216829180717468,,
8,799,,0.625,0.1504441499710083,,
8,809,,0.7857142686843872,0.1386667937040329,,
8,809,,,,0.7047120332717896,0.1588788777589798
8,809,0.8504542112350464,,,,
